canonical_name,role,acquisition_status,canonical_url,download_or_request_url,license_or_rights,notes
AAEC / Argument Annotated Essays v2,core component/relation,direct-with-conditions,https://tudatalib.ulb.tu-darmstadt.de/items/9177c48c-8bd5-4881-9cb4-0632b5941464,https://tudatalib.ulb.tu-darmstadt.de/bitstreams/1ae1718d-7e65-42ba-9e84-dbf52fe92f56/download,academic/research-only license; third-party essay copyright,Open ZIP; do not redistribute without rights review
UKP Sentential Argument Mining Corpus,core sentence classification,request-required,https://tudatalib.ulb.tu-darmstadt.de/items/18c6544d-fa61-4505-ae8f-1304352c06e6,https://tudatalib.ulb.tu-darmstadt.de/items/18c6544d-fa61-4505-ae8f-1304352c06e6/request-a-copy?bitstream=90a1de18-7a2e-4706-89e6-cf8108cfd3e9,CC BY-NC annotations; sentence copyright,Repository currently restricts file and exposes request-a-copy
CDCP / Cornell eRulemaking Corpus,core components/relations,direct-with-conditions,https://huggingface.co/datasets/DFKI-SLT/cdcp,https://facultystaff.richmond.edu/~jpark/data/cdcp_acl17.zip,license unclear,Original archive and HF mirror accessible; preserve source-version discrepancy
IAM,integrated claim/stance/evidence,direct-with-conditions,https://github.com/LiyingCheng95/IAM,https://github.com/LiyingCheng95/IAM.git,license absent/unclear,Public repository; obtain author clearance before redistribution
PERSPECTRUM,claim/perspective/evidence,direct,https://github.com/CogComp/perspectrum,https://raw.githubusercontent.com/CogComp/perspectrum/master/data/dataset/perspectrum_with_answers_v1.0.json,CC BY-SA 4.0,Public data and license documented
AbstRCT,scientific abstract structure,direct-with-conditions,https://gitlab.com/tomaye/abstrct,https://gitlab.com/tomaye/abstrct/-/archive/master/abstrct-master.zip,CC BY-NC-SA 4.0; source-text caveats,Public corpus; medical abstract rights still require care
SciARK,scientific abstract components,direct-with-conditions,https://github.com/afergadis/SciARK,https://raw.githubusercontent.com/afergadis/SciARK/main/dataset/SciARK.json,license absent/unclear,Dataset committed publicly; request author clarification before redistribution
PERSUADE 2.0,persuasive essays/quality,direct-with-conditions,https://github.com/scrosseye/persuade_corpus_2.0,https://drive.google.com/file/d/13phHyDzIsb0MHyJr6q-B-qIa9P2tM135/view?usp=sharing,CC BY-NC-SA 4.0,Train public; test ZIP password published by repository
DARIUS,learner-essay argumentation,unavailable,https://osf.io/3t2w8/,https://osf.io/3t2w8/files/,corpus license not visible,OSF currently exposes paper but not corpus files
Argumentative Microtext Corpus Part 1,argument graphs,direct-with-conditions,https://angcl.ling.uni-potsdam.de/resources/argmicro.html,https://github.com/peldszus/arg-microtexts,CC BY-NC-SA 4.0,Text and XML annotations public
Argumentative Microtexts Part 2,argument graphs/difficult implicit claims,direct-with-conditions,https://github.com/discourse-lab/arg-microtexts-part2,https://github.com/discourse-lab/arg-microtexts-part2,CC BY-NC-SA 4.0,Public; repository count differs from landing-page count
M-Arg,multimodal debate relations,direct-with-conditions,https://github.com/rafamestre/m-arg_multimodal-argumentation-dataset,https://zenodo.org/records/5653504,research/education/evaluation; commercial license on request,Public archive; audio/transcript rights and 435 MB size require review
MAD,multilingual deliberation,conditional-follow-up,https://corpora.aifdb.org/mad,https://lrec.elra.info/lrec2026-main-554,transcript CC BY-SA; annotation license unclear,Raw transcripts identifiable but scripted retrieval returned 403; annotation route unclear
ArgUNSC,political-register component/relation,direct-with-conditions,https://github.com/mpoiaganova/political-argument-mining,https://github.com/mpoiaganova/political-argument-mining/tree/main/data,repository MIT; dataset coverage unclear,Public CSV annotations plus sentence text; no full-speech dump located
GDN-CC,civic consultation clarification,direct,https://huggingface.co/datasets/LequeuISIR/GDN-CC,https://huggingface.co/datasets/LequeuISIR/GDN-CC,MIT,Public ungated JSONL with raw French contributions and annotations
CasiMedicos-Arg,clinical multilingual argumentation,direct-with-conditions,https://huggingface.co/datasets/HiTZ/casimedicos-arg,https://huggingface.co/datasets/HiTZ/casimedicos-arg,CC BY 4.0 vs CC0 conflict,Public and versioned; resolve conflicting license metadata
CEDAR,Chinese oral/multimodal debate,direct-with-conditions,https://github.com/VelikayaScarlet/CEDAR,https://github.com/VelikayaScarlet/CEDAR/blob/main/CEDAR.zip,Apache-2.0 repository; data coverage unclear,Public 21 MB ZIP; pin commit and confirm ZIP license
DebateSum,evidence retrieval/summarization,direct-with-conditions,https://huggingface.co/datasets/Hellisotherpeople/DebateSum,https://huggingface.co/datasets/Hellisotherpeople/DebateSum,HF says MIT; upstream rights unresolved,Public but canonical CSV is about 1.25 GB; pin revision
Twitter Planned Parenthood Corpus,issue-specific support/premise,request-or-recovery,https://aclanthology.org/2021.argmining-1.1/,https://joonsuk.org/,social-media IDs/labels; X policy,Current full-text release not located; likely IDs/labels and hydration
Twitter Arguments Facts and Sources,social-media argument/factuality,request-required,https://aclanthology.org/D17-1245/,https://aclanthology.org/D17-1245/,author-mediated data; X policy,Paper explicitly says annotated data available upon request
GerCCT,German climate tweet components,direct-with-conditions,https://github.com/RobinSchaefer/GerCCT,https://raw.githubusercontent.com/RobinSchaefer/GerCCT/main/corpus/gercct_class_annotations.csv,CC BY-SA 4.0 for IDs/annotations; tweet text unavailable,Download IDs/annotations; hydration through X is incomplete
KPA / ArgKP,key-point matching,direct,https://github.com/IBM/KPA_2021_shared_task,https://github.com/IBM/KPA_2021_shared_task/tree/main/kpm_data,CDLA-Sharing-1.0,Train/dev CSVs and labels public
ARIES,cross-corpus relation benchmark,fragmented,https://github.com/arg-tech/ArgumentMining24-ARIES-Benchmark,https://aclanthology.org/2024.argmining-1.1/,no ARIES dataset license declared,Public code but source datasets and splits must be acquired separately
CEAMC,Chinese essay components,unavailable,https://github.com/cubenlp/CEAMC,https://github.com/cubenlp/CEAMC,corpus license absent,Current repository has README only; no data or splits
ECHR Argument Corpus,legal components/relations,direct-with-conditions,https://aclanthology.org/2020.argmining-1.8/,http://www.di.uevora.pt/~pq/echr/echr_corpus.zip,corpus-specific license unclear; paper CC BY 4.0,ZIP directly downloadable; confirm redistribution rights
Argument Reasoning Comprehension Task,implicit warrant reasoning,direct-with-conditions,https://github.com/UKPLab/argument-reasoning-comprehension-task,https://github.com/UKPLab/argument-reasoning-comprehension-task,Apache-2.0 code; source-text rights separate,Data in repository; Room for Debate text rights require caution
Real-world undercut corpus / QuoraAM,attack/undercut relations,request-required,https://aclanthology.org/2024.argmining-1.6/,https://aclanthology.org/2024.argmining-1.6/,license not found,No public data/code package found; contact authors
